anchor_left (0),anchor_right (100),clue,target,response_list,response_mean,difference,category,,,,,
Low calorie,High calorie,Chocolate cake,67,"90, 85, 98, 88, 88",89.8,22.8,Objective,,,,,
Low calorie,High calorie,Whole milk,40,"74, 17, 35, 45, 42",42.6,2.6,Objective,,,,,
Low calorie,High calorie,Deep-fried butter,96,"100, 90, 100, 98, 99",97.4,1.4,Objective,,,,,
Low calorie,High calorie,Strawberry,11,"11, 4, 8, 8, 8",7.8,3.2,Objective,,,,,
Low calorie,High calorie,Skim milk,33,"22, 20, 15, 15, 12",16.8,16.2,Objective,,,,,
Low calorie,High calorie,Brownie,70,"82, 80, 88, 78, 82",82,12,Objective,,,,,
Low calorie,High calorie,Oatmeal,26,"39, 32, 37, 35, 35",35.6,9.6,Objective,,,,,
Low calorie,High calorie,Apple,11,"13, 4, 7, 15, 18",11.4,0.4,Objective,,,,,
Low calorie,High calorie,Fried chicken,61,"88, 87, 92, 82, 85",86.8,25.8,Objective,,,,,
Low calorie,High calorie,Butter,81,"83, 80, 82, 90, 92",85.4,4.4,Objective,,,,,
Low calorie,High calorie,Bacon cheeseburger,78,"89, 90, 92, 92, 95",91.6,13.6,Objective,,,,,
Low calorie,High calorie,Cottage cheese,35,"24, 34, 28, 22, 22",26,9,Objective,,,,,
Low calorie,High calorie,Lard,91,"92, 90, 90, 95, 98",93,2,Objective,,,,,
Low calorie,High calorie,Pizza slice,58,"71, 81, 71, 70, 72",73,15,Objective,,,,,
Hygenic,Unhygenic,Sewage leak,98,"93, 96, 97, 98, 98",96.4,1.6,Objective,,,,,
Hygenic,Unhygenic,Communal bowl,76,"83, 80, 72, 72, 72",75.8,0.2,Objective,,,,,
Hygenic,Unhygenic,Wet garbage bag,77,"90, 88, 90, 90, 92",90,13,Objective,,,,,
Hygenic,Unhygenic,Amusement ride,63,"71, 85, 55, 55, 62",65.6,2.6,Objective,,,,,
Hygenic,Unhygenic,Dirty laundry,76,"76, 77, 72, 75, 75",75,1,Objective,,,,,
Hygenic,Unhygenic,Gas pump,50,"71, 73, 68, 72, 72",71.2,21.2,Objective,,,,,
Hygenic,Unhygenic,Hand sanitizer,14,"5, 5, 3, 3, 5",4.2,9.8,Objective,,,,,
Hygenic,Unhygenic,Compost pile,81,"82, 88, 82, 82, 82",83.2,2.2,Objective,,,,,
Hygenic,Unhygenic,Week-old dish,67,"79, 77, 85, 88, 88",83.4,16.4,Objective,,,,,
Hygenic,Unhygenic,Gym equipment,37,"66, 74, 65, 68, 68",68.2,31.2,Objective,,,,,
Hygenic,Unhygenic,ATM keypad,50,"72, 84, 72, 72, 72",74.4,24.4,Objective,,,,,
Hygenic,Unhygenic,Roadkill,87,"95, 90, 95, 95, 95",94,7,Objective,,,,,
Hygenic,Unhygenic,Subway pole,46,"78, 81, 75, 78, 78",78,32,Objective,,,,,
Hygenic,Unhygenic,Hospital room,7,"10, 7, 12, 18, 18",13,6,Objective,,,,,
Hygenic,Unhygenic,Clean room,1,"22, 15, 2, 2, 2",8.6,7.6,Objective,,,,,
Hygenic,Unhygenic,Scrubbed hands,17,"20, 18, 5, 3, 3",9.8,7.2,Objective,,,,,
Hygenic,Unhygenic,Operating room,0,"3, 3, 3, 5, 5",3.8,3.8,Objective,,,,,
Hygenic,Unhygenic,Keyboard,41,"69, 73, 68, 65, 65",68,27,Objective,,,,,
Hygenic,Unhygenic,Shopping cart,51,"74, 77, 65, 70, 68",70.8,19.8,Objective,,,,,
Hygenic,Unhygenic,Unwashed produce,56,"43, 61, 70, 68, 72",62.8,6.8,Objective,,,,,
Hygenic,Unhygenic,Shared towel,61,"70, 61, 72, 72, 72",69.4,8.4,Objective,,,,,
Hygenic,Unhygenic,Port-a-potty,86,"85, 92, 92, 92, 92",90.6,4.6,Objective,,,,,
Hygenic,Unhygenic,Fast food counter,62,"67, 81, 62, 65, 62",67.4,5.4,Objective,,,,,
Hygenic,Unhygenic,Trash can lid,73,"80, 82, 85, 85, 85",83.4,10.4,Objective,,,,,
Hygenic,Unhygenic,Washed produce,22,"22, 23, 10, 8, 8",14.2,7.8,Objective,,,,,
Hygenic,Unhygenic,Clean bathroom,26,"29, 14, 8, 5, 5",12.2,13.8,Objective,,,,,
Hygenic,Unhygenic,Flossing teeth,22,"16, 11, 5, 3, 5",8,14,Objective,,,,,
Hygenic,Unhygenic,New toothbrush,18,"20, 15, 3, 2, 2",8.4,9.6,Objective,,,,,
Hygenic,Unhygenic,Office desk,33,"35, 38, 58, 55, 55",48.2,15.2,Objective,,,,,
Hygenic,Unhygenic,Overflowing trash,84,"86, 83, 90, 92, 92",88.6,4.6,Objective,,,,,
Hygenic,Unhygenic,Clean kitchen,19,"24, 22, 8, 5, 5",12.8,6.2,Objective,,,,,
Hygenic,Unhygenic,Restaurant menu,52,"53, 65, 62, 68, 65",62.6,10.6,Objective,,,,,
Hygenic,Unhygenic,Dirty sink,66,"72, 74, 82, 82, 82",78.4,12.4,Objective,,,,,
Hygenic,Unhygenic,Freshly sanitized,7,"15, 10, 2, 1, 2",6,1,Objective,,,,,
Hygenic,Unhygenic,Moldy bread,73,"98, 90, 88, 88, 88",90.4,17.4,Objective,,,,,
Hygenic,Unhygenic,Fresh laundry,30,"14, 22, 5, 3, 3",9.4,20.6,Objective,,,,,
Hygenic,Unhygenic,Shared pen,33,"30, 55, 60, 60, 58",52.6,19.6,Objective,,,,,
Hygenic,Unhygenic,Door handle,40,"72, 68, 65, 65, 65",67,27,Objective,,,,,
Hygenic,Unhygenic,Dental office,3,"14, 12, 8, 8, 10",10.4,7.4,Objective,,,,,
Hygenic,Unhygenic,Clogged drain,76,"87, 70, 88, 88, 88",84.2,8.2,Objective,,,,,
Hygenic,Unhygenic,Dollar bill,39,"82, 77, 75, 78, 78",78,39,Objective,,,,,
Hygenic,Unhygenic,Public restroom,37,"79, 79, 78, 78, 78",78.4,41.4,Objective,,,,,
Hygenic,Unhygenic,Day-old dishes,32,"75, 68, 75, 72, 72",72.4,40.4,Objective,,,,,
Hygenic,Unhygenic,Dumpster,91,"85, 80, 95, 95, 95",90,1,Objective,,,,,
Hygenic,Unhygenic,Sealed food,18,"26, 20, 5, 5, 5",12.2,5.8,Objective,,,,,
Hygenic,Unhygenic,Sewer drain,89,"86, 90, 95, 95, 95",92.2,3.2,Objective,,,,,
Hygenic,Unhygenic,Swept floor,30,"47, 35, 15, 12, 12",24.2,5.8,Objective,,,,,
Hygenic,Unhygenic,Open sewer,98,"93, 94, 97, 98, 98",96,2,Objective,,,,,
Hygenic,Unhygenic,Used sponge,51,"79, 69, 72, 75, 78",74.6,23.6,Objective,,,,,
Hygenic,Unhygenic,Gym locker room,58,"88, 78, 78, 78, 78",80,22,Objective,,,,,
Happens slowly,Happens suddenly,School semester,47,"65, 19, 22, 10, 8",24.8,22.2,Objective,,,,,
Happens slowly,Happens suddenly,Tree growth,5,"11, 5, 5, 5, 5",6.2,1.2,Objective,,,,,
Happens slowly,Happens suddenly,Mountain formation,6,"3, 2, 2, 2, 2",2.2,3.8,Objective,,,,,
Happens slowly,Happens suddenly,Cat jump,67,"90, 88, 90, 88, 88",88.8,21.8,Objective,,,,,
Happens slowly,Happens suddenly,Wound healing,21,"32, 28, 15, 12, 12",19.8,1.2,Objective,,,,,
Happens slowly,Happens suddenly,Car alarm,87,"96, 95, 92, 92, 92",93.4,6.4,Objective,,,,,
Happens slowly,Happens suddenly,Hair growth,17,"29, 31, 8, 8, 8",16.8,0.2,Objective,,,,,
Happens slowly,Happens suddenly,Ball drop,79,"85, 87, 88, 90, 85",87,8,Objective,,,,,
Happens slowly,Happens suddenly,Stomachache,38,"32, 45, 35, 45, 45",40.4,2.4,Objective,,,,,
Happens slowly,Happens suddenly,Spilled drink,75,"84, 88, 92, 92, 90",89.2,14.2,Objective,,,,,
Happens slowly,Happens suddenly,Boiling water,41,"39, 38, 25, 25, 25",30.4,10.6,Objective,,,,,
Happens slowly,Happens suddenly,Construction,21,"29, 45, 10, 10, 8",20.4,0.6,Objective,,,,,
Happens slowly,Happens suddenly,Nail growth,19,"33, 40, 5, 5, 5",17.6,1.4,Objective,,,,,
Happens slowly,Happens suddenly,Geological erosion,0,"10, 3, 2, 2, 2",3.8,3.8,Objective,,,,,
Happens slowly,Happens suddenly,Weather change,38,"58, 32, 35, 35, 35",39,1,Objective,,,,,
Happens slowly,Happens suddenly,Pottery drying,30,"39, 60, 15, 12, 10",27.2,2.8,Objective,,,,,
Happens slowly,Happens suddenly,Bread rising,31,"61, 29, 18, 15, 12",27,4,Objective,,,,,
Happens slowly,Happens suddenly,Reputation building,21,"30, 41, 10, 10, 8",19.8,1.2,Objective,,,,,
Happens slowly,Happens suddenly,Bus arrival,44,"41, 50, 75, 75, 72",62.6,18.6,Objective,,,,,
Happens slowly,Happens suddenly,Clap of thunder,89,"84, 92, 95, 95, 95",92.2,3.2,Objective,,,,,
Happens slowly,Happens suddenly,Alarm buzzing,87,"91, 90, 92, 92, 92",91.4,4.4,Objective,,,,,
Happens slowly,Happens suddenly,Door slam,58,"94, 87, 95, 95, 92",92.6,34.6,Objective,,,,,
Happens slowly,Happens suddenly,Aging,16,"14, 11, 3, 5, 5",7.6,8.4,Objective,,,,,
Happens slowly,Happens suddenly,Airbag deploy,94,"99, 100, 98, 98, 98",98.6,4.6,Objective,,,,,
Happens slowly,Happens suddenly,Seasonal change,34,"52, 30, 8, 10, 8",21.6,12.4,Objective,,,,,
Happens slowly,Happens suddenly,Explosion,99,"100, 95, 98, 98, 98",97.8,1.2,Objective,,,,,
Happens slowly,Happens suddenly,Rainstorm,44,"32, 33, 65, 65, 55",50,6,Objective,,,,,
Happens slowly,Happens suddenly,Text ping,48,"85, 83, 95, 92, 92",89.4,41.4,Objective,,,,,
Happens slowly,Happens suddenly,Glacier melt,3,"21, 45, 5, 5, 3",15.8,12.8,Objective,,,,,
Happens slowly,Happens suddenly,Sneeze,72,"89, 87, 97, 90, 88",90.2,18.2,Objective,,,,,
Happens slowly,Happens suddenly,Loud knock,65,"84, 85, 92, 93, 92",89.2,24.2,Objective,,,,,
Happens slowly,Happens suddenly,Star formation,2,"2, 1, 2, 2, 2",1.8,0.2,Objective,,,,,
Happens slowly,Happens suddenly,Bullet impact,99,"98, 99, 99, 99, 98",98.6,0.4,Objective,,,,,
Happens slowly,Happens suddenly,Wave crash,49,"69, 92, 78, 78, 72",77.8,28.8,Objective,,,,,
Happens slowly,Happens suddenly,Flower blooming,33,"25, 21, 10, 8, 8",14.4,18.6,Objective,,,,,
Happens slowly,Happens suddenly,Stumble,59,"73, 78, 90, 90, 88",83.8,24.8,Objective,,,,,
Happens slowly,Happens suddenly,Evolution,2,"4, 5, 1, 2, 2",2.8,0.8,Objective,,,,,
Happens slowly,Happens suddenly,Learning to read,23,"13, 23, 12, 8, 8",12.8,10.2,Objective,,,,,
Happens slowly,Happens suddenly,Career growth,21,"24, 27, 10, 10, 5",15.2,5.8,Objective,,,,,
Happens slowly,Happens suddenly,Gust of wind,62,"79, 88, 88, 85, 82",84.4,22.4,Objective,,,,,
Happens slowly,Happens suddenly,Rusting,12,"20, 36, 5, 8, 5",14.8,2.8,Objective,,,,,
Happens slowly,Happens suddenly,Slap,95,"83, 92, 97, 95, 95",92.4,2.6,Objective,,,,,
Happens slowly,Happens suddenly,Gunshot,89,"95, 98, 99, 99, 98",97.8,8.8,Objective,,,,,
Happens slowly,Happens suddenly,Mood change,44,"70, 54, 55, 40, 35",50.8,6.8,Objective,,,,,
Happens slowly,Happens suddenly,Continental drift,1,"12, 3, 1, 1, 2",3.8,2.8,Objective,,,,,
Happens slowly,Happens suddenly,Firecracker,81,"89, 89, 97, 97, 95",93.4,12.4,Objective,,,,,
Happens slowly,Happens suddenly,Dog reaction,49,"81, 83, 85, 85, 85",83.8,34.8,Objective,,,,,
Happens slowly,Happens suddenly,Sunrise,37,"32, 30, 20, 15, 15",22.4,14.6,Objective,,,,,
Happens slowly,Happens suddenly,Camera flash,99,"87, 87, 98, 98, 95",93,6,Objective,,,,,
Happens slowly,Happens suddenly,Tire blowout,83,"83, 79, 97, 97, 95",90.2,7.2,Objective,,,,,
Temporary,Permanent,Apartment ownership,58,"50, 60, 72, 55, 68",61,3,Objective,,,,,
Temporary,Permanent,Birth certificate,85,"100, 95, 90, 92, 92",93.8,8.8,Objective,,,,,
Temporary,Permanent,Campfire,17,"31, 19, 15, 10, 15",18,1,Objective,,,,,
Temporary,Permanent,DNA,84,"100, 89, 98, 98, 98",96.6,12.6,Objective,,,,,
Temporary,Permanent,Holiday decor,30,"34, 24, 10, 8, 10",17.2,12.8,Objective,,,,,
Temporary,Permanent,Passport,62,"70, 76, 72, 65, 60",68.6,6.6,Objective,,,,,
Temporary,Permanent,National border,86,"74, 80, 75, 75, 72",75.2,10.8,Objective,,,,,
Temporary,Permanent,Trend,31,"21, 15, 12, 12, 12",14.4,16.6,Objective,,,,,
Temporary,Permanent,Soap bubble,2,"2, 3, 3, 2, 3",2.6,0.6,Objective,,,,,
Temporary,Permanent,Flower arrangement,20,"26, 15, 8, 10, 10",13.8,6.2,Objective,,,,,
Temporary,Permanent,Stone monument,91,"82, 82, 90, 90, 88",86.4,4.6,Objective,,,,,
Temporary,Permanent,Gym session,42,"39, 13, 5, 5, 8",14,28,Objective,,,,,
Temporary,Permanent,Fashion trend,46,"23, 19, 10, 10, 10",14.4,31.6,Objective,,,,,
Temporary,Permanent,Mood,29,"19, 30, 8, 8, 8",14.6,14.4,Objective,,,,,
Temporary,Permanent,Driver's license,55,"41, 80, 55, 55, 55",57.2,2.2,Objective,,,,,
Temporary,Permanent,Beach umbrella,27,"19, 10, 5, 5, 8",9.4,17.6,Objective,,,,,
Temporary,Permanent,Contract job,36,"30, 46, 20, 15, 15",25.2,10.8,Objective,,,,,
Temporary,Permanent,Blood type,81,"100, 100, 98, 98, 98",98.8,17.8,Objective,,,,,
Temporary,Permanent,Hotel room,19,"23, 21, 5, 5, 8",12.4,6.6,Objective,,,,,
Temporary,Permanent,Pop-up shop,30,"11, 28, 8, 5, 8",12,18,Objective,,,,,
Temporary,Permanent,Ice sculpture,8,"16, 32, 10, 3, 5",13.2,5.2,Objective,,,,,
Temporary,Permanent,Scar,60,"79, 88, 85, 88, 85",85,25,Objective,,,,,
Temporary,Permanent,Bandage,43,"25, 31, 8, 8, 8",16,27,Objective,,,,,
Temporary,Permanent,Criminal record,84,"75, 79, 92, 90, 88",84.8,0.8,Objective,,,,,
Temporary,Permanent,Chalk drawing,11,"29, 41, 8, 8, 8",18.8,7.8,Objective,,,,,
Temporary,Permanent,Death,100,"100, 99, 100, 99, 98",99.2,0.8,Objective,,,,,
Temporary,Permanent,Tooth filling,55,"49, 73, 75, 72, 72",68.2,13.2,Objective,,,,,
Temporary,Permanent,Houseplant,47,"53, 53, 45, 35, 35",44.2,2.8,Objective,,,,,
Temporary,Permanent,Sand castle,5,"24, 23, 5, 3, 5",12,7,Objective,,,,,
Temporary,Permanent,Candle flame,19,"29, 18, 5, 5, 8",13,6,Objective,,,,,
Temporary,Permanent,Relationship,50,"50, 50, 50, 45, 45",48,2,Objective,,,,,
Temporary,Permanent,Legal record,60,"73, 85, 90, 88, 85",84.2,24.2,Objective,,,,,
Temporary,Permanent,Phone case,47,"49, 43, 15, 18, 18",28.6,18.4,Objective,,,,,
Temporary,Permanent,Eye color,78,"95, 98, 95, 95, 92",95,17,Objective,,,,,
Temporary,Permanent,Geological layer,88,"90, 95, 97, 95, 92",93.8,5.8,Objective,,,,,
Temporary,Permanent,Season,37,"25, 25, 10, 10, 10",16,21,Objective,,,,,
Temporary,Permanent,Car,50,"48, 76, 40, 35, 35",46.8,3.2,Objective,,,,,
Temporary,Permanent,Name,74,"88, 89, 80, 78, 72",81.4,7.4,Objective,,,,,
Temporary,Permanent,Brand reputation,69,"79, 63, 65, 55, 55",63.4,5.6,Objective,,,,,
Temporary,Permanent,Petroglyph,92,"80, 88, 95, 95, 92",90,2,Objective,,,,,
Temporary,Permanent,Mountain range,86,"90, 93, 97, 95, 95",94,8,Objective,,,,,
Temporary,Permanent,Fossil,90,"87, 90, 98, 97, 95",93.4,3.4,Objective,,,,,
Temporary,Permanent,Marriage,53,"79, 70, 65, 65, 65",68.8,15.8,Objective,,,,,
Temporary,Permanent,Job title,50,"66, 66, 30, 25, 22",41.8,8.2,Objective,,,,,
Temporary,Permanent,Citizenship,64,"79, 69, 82, 78, 72",76,12,Objective,,,,,
Temporary,Permanent,Concert,19,"14, 10, 3, 3, 5",7,12,Objective,,,,,
Temporary,Permanent,Social media post,56,"33, 52, 70, 60, 55",54,2,Objective,,,,,
Temporary,Permanent,Diamond,99,"93, 97, 98, 95, 92",95,4,Objective,,,,,
Temporary,Permanent,Temp tattoo,24,"38, 9, 3, 5, 5",12,12,Objective,,,,,
Temporary,Permanent,Black eye,48,"39, 41, 12, 12, 10",22.8,25.2,Objective,,,,,
Mental activity,Physical activity,Drawing,28,"45, 31, 30, 25, 30",32.2,4.2,Objective,,,,,
Mental activity,Physical activity,Football,79,"80, 83, 85, 90, 88",85.2,6.2,Objective,,,,,
Mental activity,Physical activity,Chess,18,"18, 21, 5, 5, 5",10.8,7.2,Objective,,,,,
Mental activity,Physical activity,Hiking,51,"85, 82, 75, 75, 75",78.4,27.4,Objective,,,,,
Mental activity,Physical activity,Marathon,92,"90, 89, 90, 92, 90",90.2,1.8,Objective,,,,,
Mental activity,Physical activity,Gardening,55,"48, 38, 55, 60, 62",52.6,2.4,Objective,,,,,
Mental activity,Physical activity,Gymnastics,77,"83, 80, 92, 88, 85",85.6,8.6,Objective,,,,,
Mental activity,Physical activity,Triathlon,92,"79, 88, 92, 95, 92",89.2,2.8,Objective,,,,,
Mental activity,Physical activity,Yoga,39,"58, 50, 50, 55, 55",53.6,14.6,Objective,,,,,
Mental activity,Physical activity,Playing piano,32,"39, 32, 35, 30, 30",33.2,1.2,Objective,,,,,
Mental activity,Physical activity,Coding,31,"22, 25, 8, 8, 8",14.2,16.8,Objective,,,,,
Mental activity,Physical activity,Sprinting,86,"90, 90, 95, 95, 95",93,7,Objective,,,,,
Mental activity,Physical activity,Meditation,10,"5, 6, 5, 5, 8",5.8,4.2,Objective,,,,,
Mental activity,Physical activity,Golf,70,"63, 72, 60, 50, 52",59.4,10.6,Objective,,,,,
Mental activity,Physical activity,Philosophy,3,"1, 9, 3, 3, 5",4.2,1.2,Objective,,,,,
Mental activity,Physical activity,Bodybuilding,93,"100, 92, 92, 92, 88",92.8,0.2,Objective,,,,,
Mental activity,Physical activity,Volleyball,72,"85, 83, 82, 85, 82",83.4,11.4,Objective,,,,,
Mental activity,Physical activity,Writing,28,"30, 24, 8, 8, 8",15.6,12.4,Objective,,,,,
Mental activity,Physical activity,Boxing,88,"76, 70, 85, 90, 88",81.8,6.2,Objective,,,,,
Mental activity,Physical activity,Hypnosis,12,"11, 7, 10, 8, 10",9.2,2.8,Objective,,,,,
Mental activity,Physical activity,Military drill,99,"92, 91, 78, 82, 78",84.2,14.8,Objective,,,,,
Mental activity,Physical activity,Crossword,18,"19, 20, 8, 5, 5",11.4,6.6,Objective,,,,,
Mental activity,Physical activity,Rugby,81,"83, 80, 88, 92, 90",86.6,5.6,Objective,,,,,
Mental activity,Physical activity,Creative visualization,12,"7, 15, 5, 5, 5",7.4,4.6,Objective,,,,,
Mental activity,Physical activity,Studying,24,"17, 8, 5, 8, 8",9.2,14.8,Objective,,,,,
Mental activity,Physical activity,Strategy game,21,"27, 11, 8, 8, 8",12.4,8.6,Objective,,,,,
Mental activity,Physical activity,Puzzles,17,"29, 13, 10, 10, 10",14.4,2.6,Objective,,,,,
Mental activity,Physical activity,Ironman race,97,"80, 85, 93, 96, 92",89.2,7.8,Objective,,,,,
Mental activity,Physical activity,Weightlifting,86,"89, 90, 92, 92, 90",90.6,4.6,Objective,,,,,
Mental activity,Physical activity,Dreaming,0,"3, 2, 5, 2, 5",3.4,3.4,Objective,,,,,
Mental activity,Physical activity,Cycling,59,"82, 83, 85, 85, 85",84,25,Objective,,,,,
Mental activity,Physical activity,CrossFit,91,"89, 85, 90, 92, 90",89.2,1.8,Objective,,,,,
Mental activity,Physical activity,Walking,47,"68, 76, 68, 72, 72",71.2,24.2,Objective,,,,,
Mental activity,Physical activity,Rowing,76,"77, 79, 85, 88, 85",82.8,6.8,Objective,,,,,
Mental activity,Physical activity,Basketball,68,"74, 74, 82, 88, 85",80.6,12.6,Objective,,,,,
Mental activity,Physical activity,Light stretching,38,"54, 69, 60, 62, 65",62,24,Objective,,,,,
Mental activity,Physical activity,Rock climbing,77,"63, 68, 82, 82, 82",75.4,1.6,Objective,,,,,
Mental activity,Physical activity,Olympic lifting,93,"92, 85, 92, 90, 88",89.4,3.6,Objective,,,,,
Mental activity,Physical activity,Tennis,73,"78, 73, 75, 82, 78",77.2,4.2,Objective,,,,,
Mental activity,Physical activity,Prayer,12,"14, 10, 10, 8, 10",10.4,1.6,Objective,,,,,
Mental activity,Physical activity,Language learning,22,"13, 5, 18, 12, 15",12.6,9.4,Objective,,,,,
Mental activity,Physical activity,Dancing,62,"53, 72, 78, 78, 78",71.8,9.8,Objective,,,,,
Mental activity,Physical activity,Casual swimming,47,"59, 68, 72, 75, 75",69.8,22.8,Objective,,,,,
Mental activity,Physical activity,Wrestling,88,"73, 68, 88, 92, 90",82.2,5.8,Objective,,,,,
Mental activity,Physical activity,Journaling,11,"20, 14, 8, 8, 8",11.6,0.6,Objective,,,,,
Mental activity,Physical activity,Daydreaming,32,"14, 9, 3, 2, 3",6.2,25.8,Objective,,,,,
Mental activity,Physical activity,Martial arts,75,"74, 69, 75, 82, 78",75.6,0.6,Objective,,,,,
Mental activity,Physical activity,Soccer,68,"77, 73, 85, 88, 88",82.2,14.2,Objective,,,,,
Mental activity,Physical activity,Deep reading,15,"16, 14, 5, 5, 5",9,6,Objective,,,,,
Mental activity,Physical activity,Memory training,24,"12, 11, 8, 8, 8",9.4,14.6,Objective,,,,,
Square,Round,Tile floors,27,"11, 23, 8, 12, 15",13.8,13.2,Objective,,,,,
Square,Round,Blueberry,95,"79, 90, 90, 92, 92",88.6,6.4,Objective,,,,,
Square,Round,Door,28,"34, 27, 10, 10, 12",18.6,9.4,Objective,,,,,
Square,Round,Steering wheel,67,"85, 88, 95, 95, 95",91.6,24.6,Objective,,,,,
Square,Round,Oval mirror,83,"79, 79, 85, 82, 82",81.4,1.6,Objective,,,,,
Square,Round,Hexagon,56,"50, 45, 35, 30, 30",38,18,Objective,,,,,
Square,Round,Tortilla,71,"90, 92, 88, 90, 88",89.6,18.6,Objective,,,,,
Square,Round,Manhole cover,63,"90, 89, 95, 95, 92",92.2,29.2,Objective,,,,,
Square,Round,Cutting board,23,"21, 29, 10, 15, 15",18,5,Objective,,,,,
Square,Round,Egg,85,"78, 78, 85, 85, 85",82.2,2.8,Objective,,,,,
Square,Round,Grape,91,"85, 81, 95, 92, 92",89,2,Objective,,,,,
Square,Round,Laptop,37,"28, 21, 8, 10, 12",15.8,21.2,Objective,,,,,
Square,Round,Photo frame,20,"32, 25, 8, 12, 12",17.8,2.2,Objective,,,,,
Square,Round,TV screen,21,"20, 26, 10, 10, 12",15.6,5.4,Objective,,,,,
Square,Round,Pearl,94,"98, 96, 98, 95, 95",96.4,2.4,Objective,,,,,
Square,Round,Brick wall,10,"15, 19, 5, 8, 8",11,1,Objective,,,,,
Square,Round,Ball,99,"86, 95, 98, 99, 98",95.2,3.8,Objective,,,,,
Square,Round,Chessboard,1,"15, 8, 5, 5, 5",7.6,6.6,Objective,,,,,
Square,Round,Bubble,98,"91, 92, 98, 98, 98",95.4,2.6,Objective,,,,,
Square,Round,Diamond shape,50,"45, 43, 25, 25, 25",32.6,17.4,Objective,,,,,
Square,Round,Index card,34,"20, 11, 8, 8, 8",11,23,Objective,,,,,
Square,Round,Moon,99,"86, 89, 98, 97, 95",93,6,Objective,,,,,
Square,Round,Book cover,12,"16, 14, 8, 10, 10",11.6,0.4,Objective,,,,,
Square,Round,Rubik's cube,5,"5, 9, 5, 5, 5",5.8,0.8,Objective,,,,,
Square,Round,Pie,69,"79, 87, 90, 90, 88",86.8,17.8,Objective,,,,,
Square,Round,Pea,88,"84, 93, 95, 95, 95",92.4,4.4,Objective,,,,,
Square,Round,Clock face,66,"72, 80, 95, 92, 90",85.8,19.8,Objective,,,,,
Square,Round,Hexagonal tile,62,"45, 40, 30, 28, 28",34.2,27.8,Objective,,,,,
Square,Round,Wheel,71,"82, 96, 98, 98, 98",94.4,23.4,Objective,,,,,
Square,Round,Lego brick,16,"20, 13, 5, 5, 8",10.2,5.8,Objective,,,,,
Square,Round,Pillow,36,"41, 41, 40, 35, 35",38.4,2.4,Objective,,,,,
Square,Round,Grid paper,0,"14, 16, 5, 5, 5",9,9,Objective,,,,,
Square,Round,Balloon,86,"87, 83, 95, 90, 90",89,3,Objective,,,,,
Square,Round,Frisbee,70,"70, 89, 98, 98, 95",90,20,Objective,,,,,
Square,Round,Donut,87,"75, 89, 95, 95, 95",89.8,2.8,Objective,,,,,
Square,Round,Cardboard box,14,"23, 29, 5, 5, 5",13.4,0.6,Objective,,,,,
Square,Round,Sticky note,26,"7, 21, 5, 8, 8",9.8,16.2,Objective,,,,,
Square,Round,CD disc,73,"89, 86, 98, 98, 95",93.2,20.2,Objective,,,,,
Square,Round,Windowpane,11,"28, 28, 8, 8, 10",16.4,5.4,Objective,,,,,
Square,Round,Basketball court,41,"36, 43, 12, 12, 12",23,18,Objective,,,,,
Square,Round,Placemat,27,"43, 50, 15, 15, 18",28.2,1.2,Objective,,,,,
Square,Round,Ring,71,"90, 87, 98, 97, 95",93.4,22.4,Objective,,,,,
Square,Round,Bowl,77,"86, 78, 92, 90, 90",87.2,10.2,Objective,,,,,
Square,Round,Marble,89,"92, 97, 98, 98, 98",96.6,7.6,Objective,,,,,
Square,Round,Soap bubble,99,"90, 94, 98, 98, 98",95.6,3.4,Objective,,,,,
Square,Round,Cherry,92,"85, 86, 92, 92, 92",89.4,2.6,Objective,,,,,
Square,Round,Notebook,31,"24, 20, 8, 8, 8",13.6,17.4,Objective,,,,,
Square,Round,Smartphone screen,13,"29, 31, 10, 12, 12",18.8,5.8,Objective,,,,,
Square,Round,Serving tray,46,"35, 51, 30, 30, 25",34.2,11.8,Objective,,,,,
Square,Round,Plate,81,"74, 70, 95, 92, 90",84.2,3.2,Objective,,,,,
Snack,Meal,Full breakfast,76,"92, 90, 95, 95, 95",93.4,17.4,Objective,,,,,
Snack,Meal,Roast chicken,64,"89, 83, 90, 92, 90",88.8,24.8,Objective,,,,,
Snack,Meal,Sunday roast,87,"93, 87, 95, 97, 95",93.4,6.4,Objective,,,,,
Snack,Meal,Apple slices,17,"15, 13, 12, 8, 10",11.6,5.4,Objective,,,,,
Snack,Meal,Grilled cheese,43,"45, 61, 55, 55, 52",53.6,10.6,Objective,,,,,
Snack,Meal,Large sandwich,47,"70, 70, 72, 72, 72",71.2,24.2,Objective,,,,,
Snack,Meal,Yogurt,33,"31, 33, 18, 12, 15",21.8,11.2,Objective,,,,,
Snack,Meal,Cup noodles,41,"40, 53, 45, 40, 42",44,3,Objective,,,,,
Snack,Meal,Spaghetti,71,"75, 72, 85, 85, 85",80.4,9.4,Objective,,,,,
Snack,Meal,Mint,0,"1, 1, 3, 2, 3",2,2,Objective,,,,,
Snack,Meal,Small salad,40,"19, 24, 30, 25, 25",24.6,15.4,Objective,,,,,
Snack,Meal,Celery sticks,19,"10, 7, 10, 5, 8",8,11,Objective,,,,,
Snack,Meal,Chili bowl,54,"74, 73, 75, 82, 78",76.4,22.4,Objective,,,,,
Snack,Meal,Granola bar,16,"35, 39, 15, 8, 10",21.4,5.4,Objective,,,,,
